,height,geometry
0,36.04,"POLYGON ((370400.4241000004 3284751.245100001, 370396.4873000002 3284751.029200001, 370396.1918000001 3284756.3401, 370400.1328999996 3284756.5562, 370400.1542999996 3284756.166099999, 370400.4241000004 3284751.245100001))"
1,25.01,"POLYGON ((370393.1851000004 3284753.601, 370393.1524999999 3284755.074100001, 370393.1452000001 3284756.173, 370396.1918000001 3284756.3401, 370396.3343000002 3284753.7797, 370393.1851000004 3284753.601))"
2,24.13,"POLYGON ((370390.8492000001 3284754.9727, 370390.7484999998 3284759.509500001, 370393.1224999996 3284759.630899999, 370393.1524999999 3284755.074100001, 370390.8492000001 3284754.9727))"
3,25.33,"POLYGON ((370207.9769000001 3285052.9662, 370215.2008999996 3285047.8654, 370212.8038999997 3285044.789999999, 370205.9278999995 3285049.7305, 370207.9769000001 3285052.9662))"
4,35.85,"POLYGON ((370427.0564999999 3284772.0866, 370435.1304000001 3284772.988700001, 370435.3749000002 3284772.8419, 370435.5241 3284772.7239, 370435.6602999996 3284772.5911, 370435.8371000001 3284772.3674, 370435.9349999996 3284772.204299999, 370436.0154999997 3284772.0319, 370436.0778000001 3284771.8522, 370436.1358000003 3284771.573000001, 370436.1500000004 3284771.2837, 370436.1338999998 3284771.089600001, 370436.0717000002 3284770.804300001, 370436.0055999998 3284770.621099999, 370435.9205 3284770.445900001, 370435.7593999999 3284770.202299999, 370435.6315000001 3284770.055400001, 370435.4888000004 3284769.922800001, 370435.5055 3284769.780300001, 370427.4110000003 3284768.8828, 370427.0564999999 3284772.0866))"
5,32.58,"POLYGON ((370427.4110000003 3284768.8828, 370434.7814999996 3284769.699999999, 370435.8250000002 3284761.9619, 370428.2232999997 3284761.5436, 370427.4110000003 3284768.8828))"
6,27.66,"POLYGON ((370425.6117000002 3284784.0934, 370423.7357000001 3284800.6426, 370425.5098999999 3284800.762499999, 370424.7203000002 3284811.4046, 370430.2680000002 3284811.6854, 370433.4134999998 3284784.9767, 370425.6117000002 3284784.0934))"
7,24.6,"POLYGON ((370421.6407000003 3284800.6061, 370421.5698999995 3284801.948100001, 370425.182 3284802.119999999, 370425.2399000004 3284800.7773, 370421.6407000003 3284800.6061))"
8,28.11,"POLYGON ((370368.2928999998 3284756.0953, 370370.1867000004 3284756.1611, 370370.3717999998 3284751.458799999, 370372.6720000003 3284751.5571, 370373.0877 3284743.054099999, 370368.8903999999 3284742.843800001, 370368.2928999998 3284756.0953))"
9,24.6,"POLYGON ((370276.3710000003 3284862.4088, 370275.9874 3284857.812799999, 370269.3673 3284858.3367, 370269.7668000003 3284863.0041, 370276.3710000003 3284862.4088))"
10,32.55,"POLYGON ((370275.8441000003 3284856.095699999, 370276.1346000005 3284859.5759, 370281.6278999997 3284859.145300001, 370281.2540999996 3284855.668199999, 370275.8441000003 3284856.095699999))"
11,33.29,"POLYGON ((370294.7401999999 3284856.6908, 370289.1366999997 3284857.2084, 370289.6232000003 3284861.054, 370294.4429000001 3284860.7862, 370294.7401999999 3284856.6908))"
