,height,geometry,木,涂料,红砖,金属,面砖,玻璃,青砖
0,36.04362,"POLYGON ((370400.4240875151 3284751.245076871, 370396.4872747166 3284751.029209338, 370396.1918448796 3284756.340105124, 370400.1328621563 3284756.556203203, 370400.1542531354 3284756.166092262, 370400.4240875151 3284751.245076871))",0,1,0,0,0,0,0
1,25.0142,"POLYGON ((370393.1850528494 3284753.600960249, 370393.1524608815 3284755.074059678, 370393.1452292046 3284756.173049834, 370396.1918448796 3284756.340105124, 370396.3342712466 3284753.779728711, 370393.1850528494 3284753.600960249))",0,1,0,0,0,0,0
2,24.13479,"POLYGON ((370390.8492000001 3284754.972713931, 370390.7484789044 3284759.509524262, 370393.1224752506 3284759.630944578, 370393.1524608815 3284755.074059678, 370390.8492000001 3284754.972713931))",0,1,0,0,0,0,0
3,25.32959,"POLYGON ((370207.976918851 3285052.966202414, 370215.2009437606 3285047.865399692, 370212.8038900932 3285044.789984107, 370205.9278880954 3285049.730468443, 370207.976918851 3285052.966202414))",0,0,1,0,0,0,0
4,35.85418,"POLYGON ((370427.0564599391 3284772.086644199, 370435.1304201316 3284772.988684308, 370435.3749145996 3284772.841924146, 370435.5240584975 3284772.72387043, 370435.6602524463 3284772.59108568, 370435.8371358886 3284772.367415523, 370435.9349580696 3284772.204285504, 370436.0154612446 3284772.031949142, 370436.0777894305 3284771.852238877, 370436.1358085051 3284771.573043825, 370436.1499732258 3284771.283677539, 370436.1339195808 3284771.089567656, 370436.0717491424 3284770.804274004, 370436.0055827135 3284770.621084563, 370435.9204694303 3284770.445892971, 370435.7594051156 3284770.202344369, 370435.6315117069 3284770.055444259, 370435.4888419239 3284769.922848254, 370435.5055113612 3284769.780262727, 370427.411032551 3284768.882794738, 370427.0564599391 3284772.086644199))",0,1,0,0,0,0,0
5,32.57875,"POLYGON ((370427.411032551 3284768.882794738, 370434.7815370494 3284769.699992733, 370435.8250267375 3284761.961945519, 370428.2232622206 3284761.543644715, 370427.411032551 3284768.882794738))",0,1,0,0,0,0,0
6,27.66384,"POLYGON ((370425.6116576502 3284784.093370451, 370423.7356514791 3284800.642613782, 370425.509920869 3284800.762520893, 370424.720343912 3284811.404571934, 370430.2679565158 3284811.685391113, 370433.4134815242 3284784.976746961, 370425.6116576502 3284784.093370451))",0,0,0,0,1,0,0
7,24.59831,"POLYGON ((370421.6406578124 3284800.606071107, 370421.5699192509 3284801.948143557, 370425.1820128961 3284802.119991882, 370425.2399149081 3284800.777308717, 370421.6406578124 3284800.606071107))",0,0,0,0,1,0,0
8,28.11351,"POLYGON ((370368.2929226514 3284756.095267328, 370370.1866668472 3284756.161132064, 370370.3717608731 3284751.458751846, 370372.6719620144 3284751.557107303, 370373.0877319183 3284743.054126674, 370368.8904191004 3284742.843815807, 370368.2929226514 3284756.095267328))",0,0,0,0,1,0,0
9,24.60184,"POLYGON ((370276.3709601145 3284862.408760177, 370275.9874311993 3284857.812843468, 370269.3672569403 3284858.336692257, 370269.7667842973 3284863.004111426, 370276.3709601145 3284862.408760177))",0,1,0,0,0,0,0
10,32.55331,"POLYGON ((370275.8441323033 3284856.095659278, 370276.1345591955 3284859.575912666, 370281.6279187845 3284859.145319041, 370281.254095898 3284855.668207217, 370275.8441323033 3284856.095659278))",0,1,0,0,0,0,0
11,33.28978,"POLYGON ((370294.740153471 3284856.690818248, 370289.1367325177 3284857.208410393, 370289.6231665798 3284861.054011816, 370294.4429370873 3284860.786194276, 370294.740153471 3284856.690818248))",0,1,0,0,0,0,0
12,34.87831,"POLYGON ((370268.9083368797 3284852.975426646, 370269.3672569403 3284858.336692257, 370275.9874311993 3284857.812843468, 370275.5399948657 3284852.451109223, 370268.9083368797 3284852.975426646))",0,1,0,0,0,0,0
13,24.60184,"POLYGON ((370275.5399948657 3284852.451109223, 370275.8441323033 3284856.095659278, 370281.254095898 3284855.668207217, 370280.8629815588 3284852.030259015, 370275.5399948657 3284852.451109223))",0,1,0,0,0,0,0
14,29.56551,"POLYGON ((370288.4063040847 3284851.43386285, 370280.8629815588 3284852.030259015, 370281.254095898 3284855.668207217, 370286.6250391938 3284855.243565429, 370286.7846410144 3284856.605716396, 370289.0379622718 3284856.42756252, 370288.4063040847 3284851.43386285))",0,1,0,0,0,0,0
15,28.523,"POLYGON ((370295.1604242111 3284850.89986323, 370288.4063040847 3284851.43386285, 370289.1367325177 3284857.208410393, 370294.740153471 3284856.690818248, 370295.1604242111 3284850.89986323))",0,1,0,0,0,0,0
16,23.7659,"POLYGON ((370291.9351362493 3284881.323489264, 370292.1420633048 3284877.452968009, 370288.2425786881 3284877.313183799, 370288.0211545629 3284881.163481945, 370291.9351362493 3284881.323489264))",0,1,0,0,0,0,0
17,32.41348,"POLYGON ((370288.3898571134 3284874.752189837, 370288.776436558 3284868.030040108, 370282.1987379789 3284867.996815136, 370281.8699962487 3284874.245727928, 370281.8582194652 3284874.469587831, 370288.3898571134 3284874.752189837))",0,0,0,0,1,0,0
18,25.04134,"POLYGON ((370253.6763489852 3284903.288958341, 370249.2977976054 3284903.432658728, 370249.3484816141 3284905.482517052, 370253.7396116639 3284905.317956725, 370253.6763489852 3284903.288958341))",0,1,0,0,0,0,0
19,30.46436,"POLYGON ((370249.490766691 3284911.237078708, 370249.3956521759 3284907.390277969, 370244.8658493636 3284907.474430252, 370245.0258409968 3284910.830783818, 370246.8476969516 3284910.785334131, 370246.8655549036 3284911.358085075, 370249.490766691 3284911.237078708))",0,1,0,0,0,0,0
20,30.46436,"POLYGON ((370249.490766691 3284911.237078708, 370252.1159784785 3284911.116072334, 370252.1015796959 3284910.654265957, 370253.9045914337 3284910.609286375, 370253.7396116639 3284905.317956725, 370249.3484816141 3284905.482517052, 370249.490766691 3284911.237078708))",0,1,0,0,0,0,0
21,22.20082,"POLYGON ((370312.5151458392 3284831.458533682, 370304.3445475474 3284832.150936099, 370305.1087262295 3284840.679818243, 370313.3647092078 3284840.107629932, 370312.5151458392 3284831.458533682))",0,0,0,0,1,0,0
22,30.98178,"POLYGON ((370305.1087262295 3284840.679818243, 370305.4410634302 3284844.388983278, 370313.7167416727 3284843.691544671, 370313.3647092078 3284840.107629932, 370305.1087262295 3284840.679818243))",0,0,0,0,1,0,0
23,26.91987,"POLYGON ((370393.1850528494 3284753.600960249, 370393.2944866018 3284751.213870795, 370388.8800391713 3284750.897325119, 370388.7720292527 3284753.300572926, 370393.1850528494 3284753.600960249))",0,1,0,0,0,0,0
