,geometry
0,"LINESTRING (369748.160845033 3284121.735446429, 369586.2613417501 3284592.268986602, 369454.7951371642 3284842.410342574, 369303.3397925719 3285134.22282564, 369056.3231048796 3285604.222620632, 368843.842649488 3286008.510166579, 368614.9321299298 3286444.059271659)"
1,"LINESTRING (370165.4816260467 3285171.34171957, 370155.9295622741 3285259.678178912, 370085.8739283355 3285465.712174647)"
2,"LINESTRING (368408.1363361384 3284728.423526106, 369303.3397925715 3285134.22282564)"
3,"LINESTRING (370409.9969896423 3285199.175660721, 370488.4020012278 3285211.360534018, 370890.0258323859 3285215.692689103, 371222.993558066 3285229.595603426, 371234.8106469123 3285230.322844883, 371246.5898385029 3285231.515788474, 371258.3127870783 3285233.17257622, 371627.0919820621 3285292.736077746, 371628.9436227966 3285293.031851954)"
4,"LINESTRING (370334.2249765657 3285134.782881895, 370345.7561389579 3285112.548756116, 370360.7259734125 3285083.988279433, 370360.7259734125 3285080.962308358, 370360.7259734125 3285063.846246381)"
5,"LINESTRING (370360.7259734125 3285063.846246381, 370360.7259734125 3285061.835774226, 370358.4618065131 3285008.21559045, 370359.6177277991 3284999.444039239)"
6,"LINESTRING (370359.6177277991 3284999.444039239, 370359.9123694864 3284997.208190935, 370368.9098141806 3284958.972442451, 370368.0539146811 3284951.499113112)"
7,"LINESTRING (370116.1932881504 3285165.743216956, 370123.730043498 3285082.893655312)"
8,"LINESTRING (370123.730043498 3285082.893655312, 370119.1436471373 3285063.470528612)"
9,"LINESTRING (370119.1436471373 3285063.470528612, 370096.0826524124 3284966.586780655)"
10,"LINESTRING (369784.4157338212 3285164.997995402, 369783.0217504806 3285154.620766708, 369781.5295789915 3285143.512596089, 369780.674676067 3285136.960206035, 369781.3238528237 3285127.300062962, 369783.3398858249 3285101.684986772, 369784.1106132551 3285091.892368383, 369784.8735227481 3285082.19908222, 369785.7887260404 3285070.570799325, 369785.9630982806 3285068.355280925, 369787.1648247028 3285053.086525974)"
11,"LINESTRING (370334.2249765657 3285134.782881895, 370305.7668234306 3285113.885891961, 370304.6859530281 3285110.466417531, 370279.965158651 3285083.45077496, 370262.1568339211 3285061.565039605, 370261.4855651786 3285060.035977624, 370246.7186145374 3285040.973427283)"
12,"LINESTRING (370246.7186145374 3285040.973427283, 370237.6369821055 3285029.250013316, 370236.8894266189 3285027.132600435, 370236.3179699687 3285024.276453647, 370230.9143066441 3284969.41823587, 370230.8840243501 3284955.423153345)"
13,"LINESTRING (370133.2608582164 3284953.418577217, 370132.9501371861 3284950.686039782, 370123.5705762184 3284916.587110747, 370117.4360117153 3284902.012879542, 370112.0191068503 3284887.993246532, 370110.3037130689 3284881.411642503, 370103.9863075719 3284866.213806886)"
14,"LINESTRING (369653.9838265061 3284988.678372295, 369653.8431294512 3284988.83685873, 369653.8431294512 3284988.932134921, 369653.6417622934 3284993.490060632, 369653.1143441897 3284995.730079718, 369651.6193242235 3285002.079640404, 369649.8616803726 3285009.474474268, 369649.3364098511 3285012.980338935, 369648.9638493282 3285018.679677452, 369648.8451253289 3285022.378225877)"
15,"LINESTRING (369648.8451253289 3285022.378225877, 369648.8347101815 3285022.702683674, 369648.8347101815 3285026.471144751, 369649.2930904474 3285031.096848081, 369649.9056140743 3285033.433557919, 369650.9537396826 3285034.887967466)"
16,"LINESTRING (370382.712267029 3285486.119721568, 370092.9227496581 3285467.711002143, 370007.0922106609 3285443.372118578, 369969.6972859263 3285438.828852428)"
17,"LINESTRING (369969.6972859263 3285438.828852428, 369919.3245384588 3285432.708856198)"
18,"LINESTRING (369919.3245384588 3285432.708856198, 369802.548584881 3285418.521256123)"
19,"LINESTRING (370049.1401579342 3284664.247653948, 370044.633120584 3284702.723668474, 370054.6756302 3284747.903045846, 370060.8353202811 3284768.533057469, 370066.9705392524 3284780.503398732, 370071.5428231179 3284788.634757977, 370080.929740834 3284803.062696381, 370094.7741645553 3284821.868217721)"
20,"LINESTRING (369735.2266606409 3284796.146513232, 369738.9007966528 3284794.441274903, 369741.1571871124 3284790.512158675, 369744.6662180725 3284778.936684229, 369745.5369062338 3284775.019961646, 369745.6791775205 3284774.379965393, 369747.533694125 3284774.01205816, 369754.2228789552 3284774.666192931, 369758.8520031735 3284775.853328336, 369772.3773777873 3284779.055025767)"
21,"LINESTRING (369743.6843312155 3284885.766928121, 369749.6020818916 3284867.685315476, 369757.9772424418 3284843.726423107, 369773.2286302688 3284808.89289883, 369784.4529258376 3284782.295074638)"
22,"LINESTRING (369706.2329961073 3284866.957531647, 369711.6802895631 3284855.732874935, 369719.6547911332 3284840.182284506, 369725.5113970464 3284819.475320285, 369729.7584959983 3284808.665028929, 369733.8268796577 3284796.796178942, 369735.2266606409 3284796.146513232)"
23,"LINESTRING (369660.7697687445 3284765.055674778, 369676.0995196732 3284775.407952582, 369676.7738371555 3284775.407952582, 369679.451108263 3284777.078407278, 369688.7667139556 3284783.39287628)"
24,"LINESTRING (369657.2928430834 3284842.206546479, 369662.809040168 3284830.337936162, 369669.4604570309 3284818.585160014, 369676.4251205059 3284808.012980878, 369681.3689246989 3284798.45505234, 369685.1795533563 3284793.189403941, 369685.7928960477 3284790.642561328, 369685.7928960477 3284788.897488978, 369688.5294128103 3284783.945300806, 369688.7667139556 3284783.39287628)"
25,"LINESTRING (369625.281677462 3284826.017224693, 369631.0806257136 3284812.621868717, 369641.095689614 3284792.746323578, 369645.7801234276 3284784.975966937, 369653.7594256245 3284774.931293406, 369660.7697687445 3284765.055674778)"
26,"LINESTRING (370195.539142257 3285079.788484957, 370197.3366268895 3285076.860337146, 370200.9980500222 3285074.371332016)"
27,"LINESTRING (370200.9980500222 3285074.371332016, 370209.4313179398 3285068.638466313, 370222.0628146675 3285059.291644352, 370230.533532726 3285053.343968681, 370232.175096956 3285052.261395373, 370233.9579042843 3285051.642230564, 370246.7186145374 3285040.973427283)"
28,"LINESTRING (370192.1293569959 3285050.576716196, 370191.0373849478 3285055.879229993, 370191.5221800389 3285057.772668186, 370200.9980500222 3285074.371332016)"
29,"LINESTRING (370235.1272806118 3285179.25254383, 370237.7453033667 3285139.030772037, 370237.7453033667 3285135.40257337, 370197.2347216327 3285081.144548633, 370195.5391422574 3285079.788484957, 370193.745348217 3285078.353872706, 370155.6280270257 3285075.259092019, 370151.6093105182 3285076.855189902, 370150.7803946389 3285076.855189902, 370145.0178070352 3285078.14157564, 370123.730043498 3285082.893655312)"
30,"LINESTRING (370145.0178070352 3285078.14157564, 370138.6903904572 3285057.857267322, 370124.6256676185 3284996.033436739, 370124.6256676185 3284994.455145541, 370124.6256676185 3284992.974078134, 370126.5873722531 3284991.810087939, 370145.6842899797 3284986.764971139, 370151.2672601432 3284986.764971139, 370154.938852626 3284987.989615348, 370165.5392290151 3284990.617596617, 370173.8240649684 3284989.448389622, 370177.7877904052 3284989.448389622, 370178.4375814602 3284991.007326488, 370192.1293569959 3285047.952212796, 370192.1293569959 3285050.576716196)"
31,"LINESTRING (369648.8451253289 3285022.378225877, 369645.8277884228 3285022.055330746, 369641.9376422673 3285021.44529534, 369638.0222643799 3285021.033915743, 369636.7311914379 3285020.843259029, 369630.0274227115 3285016.885567163, 369626.0720699331 3285015.466214523, 369621.967829456 3285012.961749731, 369613.6278431694 3285009.144146382, 369610.1503689386 3285008.434278779, 369608.9746366378 3285008.194272896, 369608.498904807 3285005.996938278, 369608.6902729665 3285004.916676308, 369608.4393435005 3285003.678103239, 369607.4740306545 3285002.897304522, 369602.6110863145 3284999.466005341, 369588.8822026131 3284990.504009455, 369585.238367311 3284989.344018808, 369584.3234724263 3284988.584469863, 369583.8333699644 3284986.517267522)"
32,"LINESTRING (370221.4673803812 3284816.926263066, 370246.2257136866 3284816.117247613, 370250.061938105 3284815.781407305, 370290.4269539014 3284813.058202014, 370292.4656050816 3284812.082312303, 370295.0497758744 3284810.360159098, 370299.5528096851 3284807.514724145)"
33,"LINESTRING (370230.8840243501 3284955.423153345, 370230.3856006026 3284931.212310103, 370229.4050895622 3284918.498303455, 370229.1671513669 3284917.545315502, 370228.4318818456 3284916.910535065, 370227.1027906667 3284891.351927831, 370225.7375241455 3284878.913194422, 370221.7168282326 3284817.952361962, 370221.4673803812 3284816.926263066)"
34,"LINESTRING (369487.4913636665 3284944.717288232, 369486.216307983 3284939.926803525, 369480.7652526848 3284924.263564956, 369477.322580975 3284914.371280738, 369477.322580975 3284910.063621889, 369479.5840708772 3284888.448099476, 369479.9972433411 3284885.205961526, 369479.6918005918 3284881.858652854, 369479.1252810793 3284876.216820882, 369478.6522259107 3284873.026051041, 369473.7679631462 3284854.147610611, 369462.8242277416 3284827.133354768)"
35,"LINESTRING (369566.8772196455 3284884.828682423, 369567.8278348367 3284881.917220149, 369569.4181392895 3284877.745395962, 369569.8859005201 3284876.518324244, 369570.8339830347 3284876.118258107, 369577.8337070149 3284858.284030103, 369577.8337070149 3284857.208621204, 369577.3140561848 3284856.707060494, 369578.7254633317 3284852.428187534, 369584.7824214867 3284841.243903661, 369589.6670710316 3284833.577691771, 369593.1757607153 3284828.857912116, 369603.3393316336 3284815.007093078)"
